subject,experiment,session,slope,intercept,rmse,mu,sig,se,n_syncs,corr1,corr2
R1062J,FR1,3,1.6328779048237978,-443.8673006642784,575.4487544825313,6.891171394202571e-13,575.4487544825313,71.37563353193136,65,0.36999853366881275,0.35081480890829647
R1065J,FR1,5,0.9948228902327629,6.266123342637025,9.449075731552975,3.9335645851679146e-13,9.449075731552977,0.9449075731552977,100,0.9981546841185727,0.3590164880587093
R1065J,PAL1,1,0.995795737140776,5.109421811330668,9.05541391013411,-2.683009370230138e-13,9.055413910134112,0.9055413910134111,100,0.9982354170573783,0.3396265249200222
R1065J,catFR1,0,0.9132476467849625,133.53420951069674,420.5832836689819,-4.3655745685100554e-13,420.5832836689819,42.05832836689819,100,0.28404465202538604,0.24986092813003477
R1065J,catFR1,1,1.0123232053157414,-9.062905669020404,27.177700383229084,-2.262368070660159e-13,27.177700383229094,2.7177700383229095,100,0.9804602614159479,0.32019100003744216
R1065J,PAL1,2,0.9958198025550401,5.092779839269068,8.958149125652104,-1.8303580873180182e-13,8.958149125652104,0.8958149125652104,100,0.9981521533721516,0.33649454257616296
R1065J,catFR1,2,0.9947040469405803,6.410797375594273,9.53649357899805,-5.32054400537163e-13,9.536493578998051,0.9536493578998051,100,0.9979419802037721,0.3561128548699423
R1065J,catFR1,3,0.7660460233152759,241.6754314756476,147.9042754413243,2.5011104298755527e-14,147.9042754413243,14.79042754413243,100,0.5991135718001207,0.32763553861405226
R1065J,PAL1,0,0.9957560901675044,5.165522518231689,9.149741036925475,-2.307842805748805e-13,9.149741036925477,0.9149741036925476,100,0.9979830427635287,0.3389454194674249
R1065J,FR1,4,0.9957440971419044,5.16555552728411,9.453474011089844,-2.1827872842550277e-13,9.453474011089844,0.9453474011089844,100,0.9975372586926637,0.34519808786068185
R1066P,FR1,3,0.9952448467694358,5.647293049517981,9.57848902440577,4.547473508864641e-15,9.578489024405767,0.9578489024405767,100,0.9973286731461775,0.31611723382189594
R1066P,PAL1,0,0.9949303033635463,5.931090756259211,9.271569809267671,-3.501554601825774e-13,9.271569809267671,0.9271569809267671,100,0.9977412421433972,0.355141370571703
R1066P,catFR1,0,0.9941966697976684,6.810184566262755,9.980738830229571,2.569322532508522e-13,9.980738830229571,0.9980738830229571,100,0.9977183402610342,0.39518535011564576
R1066P,catFR1,1,1.0002011406558262,0.7280527701437246,9.840944399833996,-2.41016095969826e-13,9.840944399833994,0.9840944399833994,100,0.9978627668553097,0.4100083171652943
R1067P,catFR1,0,0.9953118508298416,5.664824738936764,9.95088686591902,1.602984411874786e-13,9.950886865919017,0.9950886865919017,100,0.9974395089089104,0.32096747700380457
R1067P,catFR1,1,0.9967615686276001,4.144557380244622,10.072632442088857,1.1368683772161604e-14,10.072632442088857,1.0072632442088856,100,0.9973129097137301,0.3663155663639222
R1067P,FR1,2,0.9966439890019887,4.294772012264184,9.929957898369224,-5.1159076974727215e-14,9.929957898369222,0.9929957898369223,100,0.9976577905809894,0.3209348772803468
R1067P,FR1,3,0.9963400635879511,4.558936750638796,9.862052189609829,3.637978807091713e-14,9.862052189609829,0.9862052189609829,100,0.9975331786305801,0.34386724128532803
R1067P,catFR2,0,0.9949802813552147,5.98340095689216,9.999546425378451,3.296918293926865e-13,9.99954642537845,0.9999546425378449,100,0.9975342786177348,0.36258916151991144
R1068J,FR1,0,0.992918459589055,8.26738576267078,9.833029583667116,1.4097167877480388e-13,9.833029583667114,0.9833029583667114,100,0.9972192274917812,0.2880656450676357
R1068J,FR1,1,0.99269220836803,8.375192819888445,9.827478314143242,6.480149750132113e-14,9.827478314143246,0.9827478314143245,100,0.997493797413152,0.2971306233676687
R1069M,catFR1,0,0.9451417855175943,182.50752660406135,463.18749399126017,3.9108272176235914e-13,463.18749399126017,46.31874939912602,100,0.28075668839100726,0.2610204065187501
R1069M,PAL1,0,1.487194235371161,-211.52824422344935,608.2054272233926,2.501110429875553e-13,608.2054272233927,60.82054272233927,100,0.32715679960047594,0.3204928422020894
R1069M,catFR2,0,1.1307288797987394,56.195145590057415,497.919289423831,7.02584657119587e-13,497.91928942383106,49.79192894238311,100,0.3204860357703742,0.3190915842977371
R1070T,FR1,0,0.9947623944136502,6.288066688165877,9.849770140233423,-7.16227077646181e-14,9.84977014023342,0.984977014023342,100,0.9978325652084209,0.2929884363276798
