subject,subject_alias,experiment,original_experiment,session,original_session,median_beep_time,experiment_version,expected_offset,expected_offset_pre,expected_beep_time,fixation,beep_duration
R1412M,R1412M,catFR1,,1,,0.0,1.0,1002.8333333333334,0.0,-502.8333333333333,1002.8333333333334,0.5
R1412M,R1412M,catFR1,,2,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1414E,R1414E,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1414E,R1414E,catFR1,,0,,0.0,1.0,1006.2307692307693,0.0,-506.2307692307692,1006.2307692307693,0.5
R1415T,R1415T,FR1,,1,,0.0,1.0,1005.0,0.0,-505.0,1005.0,0.5
R1415T,R1415T,catFR1,,0,,0.0,1.0,1009.1538461538462,0.0,-509.15384615384613,1009.1538461538462,0.5
R1416T,R1416T,FR1,,0,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5
R1416T,R1416T,FR1,,1,,0.0,1.0,1011.5384615384615,0.0,-511.53846153846155,1011.5384615384615,0.5
R1420T,R1420T,FR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5
R1420T,R1420T,FR1,,1,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1420T,R1420T,catFR1,,0,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5
R1421M,R1421M,FR1,,0,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1421M,R1421M,catFR1,,0,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1421M,R1421M,catFR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1422T,R1422T,catFR1,,0,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1423E,R1423E,FR1,,0,,0.0,1.0,1012.9230769230769,0.0,-512.9230769230769,1012.9230769230769,0.5
R1423E,R1423E,catFR1,,0,,0.0,1.0,1007.3076923076923,0.0,-507.3076923076923,1007.3076923076923,0.5
R1425D,R1425D,TICL_FR,,0,,0.0,6.0,1007.3076923076923,0.0,-507.3076923076923,1007.3076923076923,0.5
R1425D,R1425D,TICL_FR,,3,,0.0,6.0,1007.4666666666667,0.0,-507.46666666666664,1007.4666666666667,0.5
R1425D,R1425D,TICL_FR,,7,,0.0,6.0,1007.7307692307693,0.0,-507.7307692307692,1007.7307692307693,0.5
R1426N,R1426N,catFR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5
R1426N,R1426N,catFR1,,1,,0.0,1.0,1005.6666666666666,0.0,-505.6666666666667,1005.6666666666666,0.5
R1427T,R1427T,FR1,,0,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5
R1427T,R1427T,FR1,,1,,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5
R1427T,R1427T,FR1,,2,,0.0,1.0,1008.8461538461538,0.0,-508.84615384615387,1008.8461538461538,0.5
R1427T,R1427T,TICL_FR,,0,,0.0,6.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5
R1427T,R1427T,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1428T,R1428T,FR1,,0,,0.0,1.0,1007.4615384615385,0.0,-507.46153846153845,1007.4615384615385,0.5
R1431J,R1431J,FR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1433E,R1433E,FR1,,0,,0.0,1.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5
R1433E,R1433E,catFR1,,0,,0.0,1.0,1010.0769230769231,0.0,-510.0769230769231,1010.0769230769231,0.5
R1436J,R1436J,FR1,,1,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5
R1436J,R1436J,catFR1,,6,,0.0,1.0,1011.3076923076923,0.0,-511.3076923076923,1011.3076923076923,0.5
R1438M,R1438M,FR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1441T,R1441T,FR1,,0,,0.0,1.0,1010.3846153846154,0.0,-510.38461538461536,1010.3846153846154,0.5
R1441T,R1441T,FR1,,1,,0.0,1.0,1006.8461538461538,0.0,-506.84615384615387,1006.8461538461538,0.5
R1441T,R1441T,FR1,,2,,0.0,1.0,1008.7692307692307,0.0,-508.7692307692308,1008.7692307692307,0.5
R1441T,R1441T,catFR1,,0,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5
R1441T,R1441T,catFR1,,1,,0.0,1.0,1010.0769230769231,0.0,-510.0769230769231,1010.0769230769231,0.5
R1443D,R1443D,FR1,,4,,0.0,1.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5
R1443D,R1443D,FR1,,5,,0.0,1.0,1002.8461538461538,0.0,-502.84615384615387,1002.8461538461538,0.5
R1443D,R1443D,catFR1,,2,,0.0,1.0,1005.5384615384615,0.0,-505.53846153846155,1005.5384615384615,0.5
R1444D,R1444D,TICL_catFR,TICL_CatFR,1,,0.0,6.0,1007.8846153846154,0.0,-507.88461538461536,1007.8846153846154,0.5
R1444D,R1444D,TICL_catFR,TICL_CatFR,2,,0.0,6.0,1007.3333333333334,0.0,-507.3333333333333,1007.3333333333334,0.5
R1444D,R1444D,TICL_catFR,TICL_CatFR,3,,0.0,6.0,1005.5769230769231,0.0,-505.5769230769231,1005.5769230769231,0.5
R1444D,R1444D,catFR1,,1,,0.0,1.0,1006.5384615384615,0.0,-506.53846153846155,1006.5384615384615,0.5
R1444D,R1444D,catFR1,,2,,0.0,1.0,1003.8461538461538,0.0,-503.84615384615387,1003.8461538461538,0.5
R1444D,R1444D,catFR1,,3,,0.0,1.0,1004.5384615384615,0.0,-504.53846153846155,1004.5384615384615,0.5
R1445E,R1445E,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1446T,R1446T,FR1,,0,,0.0,1.0,1008.8461538461538,0.0,-508.84615384615387,1008.8461538461538,0.5
R1447M,R1447M,FR1,,1,,0.0,1.0,1006.25,0.0,-506.25,1006.25,0.5
R1447M,R1447M,catFR1,,0,,0.0,1.0,1006.7,0.0,-506.7,1006.7,0.5
R1448T,R1448T,FR1,,0,,0.0,1.0,1009.9230769230769,0.0,-509.9230769230769,1009.9230769230769,0.5
R1448T,R1448T,catFR1,,0,,0.0,1.0,1011.2307692307693,0.0,-511.2307692307692,1011.2307692307693,0.5
R1449T,R1449T,FR1,,0,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1449T,R1449T,FR1,,1,,0.0,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1449T,R1449T,catFR1,,0,,0.0,1.0,1012.7692307692307,0.0,-512.7692307692307,1012.7692307692307,0.5
R1449T,R1449T,catFR1,,1,,0.0,1.0,1003.9230769230769,0.0,-503.9230769230769,1003.9230769230769,0.5
R1450D,R1450D,TICL_catFR,TICL_CatFR,1,,0.0,6.0,1004.8181818181819,0.0,-504.8181818181818,1004.8181818181819,0.5
R1450D,R1450D,catFR1,,1,,0.0,1.0,1012.6923076923077,0.0,-512.6923076923077,1012.6923076923077,0.5
R1450D,R1450D,catFR1,,3,,0.0,1.0,1011.3076923076923,0.0,-511.3076923076923,1011.3076923076923,0.5
R1450D,R1450D,catFR1,,4,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1454M,R1454M,FR1,,0,,0.0,1.0,1005.3076923076923,0.0,-505.3076923076923,1005.3076923076923,0.5
R1454M,R1454M,catFR1,,0,,0.0,1.0,1005.2307692307693,0.0,-505.2307692307692,1005.2307692307693,0.5
R1456D,R1456D,catFR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1456D,R1456D,catFR1,,1,,0.0,1.0,1006.8461538461538,0.0,-506.84615384615387,1006.8461538461538,0.5
R1456D,R1456D,catFR1,,2,,0.0,1.0,1007.5384615384615,0.0,-507.53846153846155,1007.5384615384615,0.5
R1456D,R1456D,catFR1,,3,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1456D,R1456D,catFR6,CatFR6,0,,0.0,6.0,1008.6538461538462,0.0,-508.65384615384613,1008.6538461538462,0.5
R1457T,R1457T,FR1,,0,,0.0,1.0,1004.3076923076923,0.0,-504.3076923076923,1004.3076923076923,0.5
R1457T,R1457T,FR1,,1,,0.0,1.0,1009.0769230769231,0.0,-509.0769230769231,1009.0769230769231,0.5
R1457T,R1457T,catFR1,,0,,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5
R1459M,R1459M,FR1,,0,,0.0,1.0,1010.2307692307693,0.0,-510.2307692307692,1010.2307692307693,0.5
R1459M,R1459M,FR1,,6,,0.0,1.0,1005.6666666666666,0.0,-505.6666666666667,1005.6666666666666,0.5
R1459M,R1459M,catFR1,,1,,0.0,1.0,1006.1818181818181,0.0,-506.1818181818182,1006.1818181818181,0.5
