subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1051J,R1051J,FR1,,2,2,1,0,0
R1051J,R1051J,PS1,PS,0,1,1,0,0
R1051J,R1051J,PS1,PS,1,4,1,0,0
R1051J,R1051J,PS2,PS,0,5,1,0,0
R1051J,R1051J,PS3,PS,0,2,1,0,0
R1051J,R1051J,PS3,PS,1,6,1,0,0
R1051J,R1051J,YC1,,0,0,0,0,0
R1051J,R1051J,YC1,,1,1,0,0,0
R1052E,R1052E_1,FR1,,0,0,1,0,0
R1052E,R1052E_1,FR1,,1,1,1,0,0
R1052E,R1052E_1,FR2,,0,0,1,0,0
R1052E,R1052E_1,PS1,PS,0,2,1,0,0
R1052E,R1052E,YC1,,0,0,0,0,0
R1052E,R1052E_1,YC1,,1,0,0,0,0
R1052E,R1052E_1,YC1,,2,1,0,0,0
R1052E,R1052E_2,YC1,,3,0,0,0,0
R1052E,R1052E_2,YC1,,4,1,0,0,0
R1053M,R1053M,FR1,,0,0,1,0,0
R1053M,R1053M,FR2,,0,0,1,0,0
R1054J,R1054J,FR1,,0,0,1,0,0
R1054J,R1054J,FR1,,1,1,1,0,0
R1054J,R1054J,PS1,PS,0,0,1,0,0
R1054J,R1054J,PS1,PS,1,1,1,0,0
R1054J,R1054J,PS3,PS,0,2,1,0,0
R1054J,R1054J,PS3,PS,1,3,1,0,0
R1054J,R1054J,YC1,,0,0,0,0,0
R1056M,R1056M,FR1,,0,,1,0,0
R1056M,R1056M,FR2,,0,0,1,0,0
R1056M,R1056M,PAL1,,0,0,1,0,0
R1056M,R1056M,PS1,PS,0,0,1,0,0
R1056M,R1056M,PS1,PS,1,4,1,0,0
R1056M,R1056M,PS1,PS,2,8,1,0,0
R1056M,R1056M,PS1,PS,3,12,1,0,0
R1056M,R1056M,PS1,PS,4,15,1,0,0
R1056M,R1056M,PS2,PS,0,1,1,0,0
R1056M,R1056M,PS2,PS,1,5,1,0,0
R1056M,R1056M,PS2,PS,2,9,1,0,0
R1056M,R1056M,PS2,PS,3,13,1,0,0
R1056M,R1056M,PS2,PS,4,16,1,0,0
R1056M,R1056M,PS3,PS,0,2,1,0,0
R1056M,R1056M,PS3,PS,1,6,1,0,0
R1056M,R1056M,PS3,PS,2,10,1,0,0
R1056M,R1056M,PS3,PS,3,14,1,0,0
R1056M,R1056M,PS3,PS,4,17,1,0,0
R1056M,R1056M,YC1,,0,0,0,0,0
R1056M,R1056M,YC2,,0,0,0,0,0
R1056M,R1056M,catFR1,,0,0,1,0,0
R1057E,R1057E,FR1,,0,,1,0,0
R1059J,R1059J,FR1,,0,0,1,0,0
R1059J,R1059J,FR1,,1,1,1,0,0
R1059J,R1059J_1,PS1,PS,0,1,1,0,0
R1059J,R1059J_1,PS1,PS,1,10,1,0,0
R1059J,R1059J_1,PS1,PS,2,14,1,0,0
R1059J,R1059J_2,PS1,PS,3,6,1,0,0
R1059J,R1059J_1,PS2,PS,0,3,1,0,0
R1059J,R1059J_1,PS2,PS,1,12,1,0,0
R1059J,R1059J_1,PS2,PS,2,16,1,0,0
R1059J,R1059J_2,PS2,PS,3,8,1,0,0
R1059J,R1059J_1,PS3,PS,0,2,1,0,0
R1059J,R1059J_1,PS3,PS,1,11,1,0,0
R1059J,R1059J_1,PS3,PS,2,15,1,0,0
R1059J,R1059J_2,PS3,PS,3,7,1,0,0
R1059J,R1059J_1,YC1,,0,0,0,0,0
R1060M,R1060M,FR1,,0,0,1,0,0
R1060M,R1060M,FR1,,1,1,1,0,0
R1060M,R1060M,FR1,,2,2,1,0,0
R1060M,R1060M,FR1,,3,3,1,0,0
R1060M,R1060M,FR2,,0,0,1,0,0
R1060M,R1060M,FR2,,1,1,1,0,0
R1060M,R1060M,PAL1,,0,0,1,0,0
R1060M,R1060M,PAL2,,0,0,1,0,0
R1060M,R1060M,PAL2,,1,2,1,0,0
R1060M,R1060M,PS1,PS,0,1,1,0,0
R1060M,R1060M,PS2,PS,0,5,1,0,0
R1060M,R1060M,PS3,PS,0,3,1,0,0
R1060M,R1060M,YC1,,0,0,0,0,0
R1060M,R1060M,YC1,,1,2,0,0,0
R1060M,R1060M,YC2,,0,0,0,0,0
R1060M,R1060M,catFR1,,0,0,1,0,0
R1060M,R1060M,catFR2,,0,0,1,0,0
R1061T,R1061T,FR1,,0,0,1,0,0
R1061T,R1061T,FR1,,1,1,1,0,0
R1061T,R1061T,FR1,,2,2,1,0,0
R1061T,R1061T,FR1,,3,3,1,0,0
R1061T,R1061T,PS1,PS,0,1,1,0,0
